t	r	label
12002	24	24T12002
12003	0	24T12003
12003	16	24T12003
12003	24	24T12003
12004	0	24T12004
12004	8	24T12004
12004	16	24T12004
12004	24	24T12004
12006	16	24T12006
12006	24	24T12006
12007	0	24T12007
12007	12	24T12007
12007	16	24T12007
12007	24	24T12007
12014	4	24T12014
12014	6	24T12014
12014	8	24T12014
12014	12	24T12014
12014	16	24T12014
12022	4	24T12022
12022	6	24T12022
12022	8	24T12022
12022	12	24T12022
12022	16	24T12022
12022	24	24T12022
12024	6	24T12024
12024	16	24T12024
12024	24	24T12024
12025	0	24T12025
12025	6	24T12025
12025	8	24T12025
12025	16	24T12025
12025	24	24T12025
12030	16	24T12030
12030	24	24T12030
12031	4	24T12031
12031	8	24T12031
12031	12	24T12031
12031	16	24T12031
12031	24	24T12031
12032	0	24T12032
12032	4	24T12032
12032	8	24T12032
12032	12	24T12032
12032	16	24T12032
12032	24	24T12032
12033	4	24T12033
12033	8	24T12033
12033	16	24T12033
12036	4	24T12036
12036	8	24T12036
12036	12	24T12036
12036	16	24T12036
12036	24	24T12036
12037	8	24T12037
12037	16	24T12037
12037	24	24T12037
12038	4	24T12038
12038	12	24T12038
12038	16	24T12038
12038	24	24T12038
12039	0	24T12039
12039	4	24T12039
12039	8	24T12039
12039	12	24T12039
12039	16	24T12039
12039	24	24T12039
12050	16	24T12050
12050	24	24T12050
12051	0	24T12051
12051	16	24T12051
12051	24	24T12051
12053	16	24T12053
12053	24	24T12053
12054	16	24T12054
12054	24	24T12054
12055	16	24T12055
12055	24	24T12055
12066	6	24T12066
12074	6	24T12074
12105	12	24T12105
12106	4	24T12106
12106	12	24T12106
12106	16	24T12106
12106	24	24T12106
12107	12	24T12107
12109	12	24T12109
12109	24	24T12109
12226	0	24T12226
12281	16	24T12281
12281	20	24T12281
12283	8	24T12283
12283	12	24T12283
12283	16	24T12283
12283	20	24T12283
12283	24	24T12283
12290	20	24T12290
12299	12	24T12299
12310	16	24T12310
12311	8	24T12311
12311	16	24T12311
12312	4	24T12312
12312	12	24T12312
12312	16	24T12312
12312	20	24T12312
12312	24	24T12312
12319	16	24T12319
12319	20	24T12319
12319	24	24T12319
12321	8	24T12321
12321	20	24T12321
12322	20	24T12322
12323	4	24T12323
12323	16	24T12323
12323	20	24T12323
12350	24	24T12350
12362	8	24T12362
12367	24	24T12367
12373	8	24T12373
12454	16	24T12454
12463	0	24T12463
12463	8	24T12463
12463	16	24T12463
12463	24	24T12463
12476	4	24T12476
12477	4	24T12477
12478	16	24T12478
12479	16	24T12479
12480	4	24T12480
12480	16	24T12480
12481	4	24T12481
12481	16	24T12481
12791	24	24T12791
12800	24	24T12800
12801	24	24T12801
12813	4	24T12813
12813	20	24T12813
12817	16	24T12817
12817	20	24T12817
12817	24	24T12817
12833	24	24T12833
12842	0	24T12842
12842	16	24T12842
12842	20	24T12842
12842	24	24T12842
12845	0	24T12845
12845	16	24T12845
12845	20	24T12845
12845	24	24T12845
12858	24	24T12858
12860	4	24T12860
12860	24	24T12860
12868	24	24T12868
12876	16	24T12876
12900	12	24T12900
12902	12	24T12902
12908	8	24T12908
12908	12	24T12908
12908	16	24T12908
12908	20	24T12908
12908	24	24T12908
12923	12	24T12923
12927	20	24T12927
12927	24	24T12927
12929	0	24T12929
12929	4	24T12929
12929	20	24T12929
12929	24	24T12929
12930	20	24T12930
12930	24	24T12930
12936	20	24T12936
12936	24	24T12936
12944	12	24T12944
12944	16	24T12944
12944	20	24T12944
12944	24	24T12944
12949	0	24T12949
12949	20	24T12949
12950	24	24T12950
12954	16	24T12954
12954	20	24T12954
12954	24	24T12954
12962	24	24T12962
12966	12	24T12966
12966	16	24T12966
12966	20	24T12966
12966	24	24T12966
12969	20	24T12969
12969	24	24T12969
12971	24	24T12971
12973	16	24T12973
12973	20	24T12973
12973	24	24T12973
12976	20	24T12976
12976	24	24T12976
12979	12	24T12979
12979	16	24T12979
12979	20	24T12979
12979	24	24T12979
12983	24	24T12983
12987	20	24T12987
12987	24	24T12987
12988	20	24T12988
12988	24	24T12988
12989	12	24T12989
12989	16	24T12989
12989	20	24T12989
12989	24	24T12989
12990	0	24T12990
12990	4	24T12990
12990	20	24T12990
12990	24	24T12990
12995	12	24T12995
12995	16	24T12995
12995	20	24T12995
13002	20	24T13002
13002	24	24T13002
13007	8	24T13007
13007	12	24T13007
13007	16	24T13007
13007	20	24T13007
13007	24	24T13007
13009	20	24T13009
13009	24	24T13009
13014	20	24T13014
13024	24	24T13024
13031	20	24T13031
13031	24	24T13031
13035	16	24T13035
13039	0	24T13039
13039	4	24T13039
13039	12	24T13039
13039	16	24T13039
13039	20	24T13039
13039	24	24T13039
13042	20	24T13042
13042	24	24T13042
13045	0	24T13045
13045	16	24T13045
13045	20	24T13045
13045	24	24T13045
13048	4	24T13048
13048	20	24T13048
13057	6	24T13057
13057	20	24T13057
13057	24	24T13057
13059	16	24T13059
13059	20	24T13059
13059	24	24T13059
13065	0	24T13065
13065	4	24T13065
13065	20	24T13065
13065	24	24T13065
13074	12	24T13074
13074	16	24T13074
13074	20	24T13074
13096	20	24T13096
13100	8	24T13100
13100	16	24T13100
13102	4	24T13102
13102	12	24T13102
13102	20	24T13102
13103	16	24T13103
13103	20	24T13103
13104	16	24T13104
13108	20	24T13108
13108	24	24T13108
13118	0	24T13118
13118	16	24T13118
13118	20	24T13118
13118	24	24T13118
13119	20	24T13119
13119	24	24T13119
13120	0	24T13120
13120	16	24T13120
13120	20	24T13120
13120	24	24T13120
13121	24	24T13121
13122	0	24T13122
13122	16	24T13122
13122	20	24T13122
13122	24	24T13122
13125	0	24T13125
13125	16	24T13125
13125	20	24T13125
13125	24	24T13125
13145	16	24T13145
13145	20	24T13145
13190	24	24T13190
13193	16	24T13193
13197	12	24T13197
13203	16	24T13203
13203	20	24T13203
13237	24	24T13237
13239	20	24T13239
13239	24	24T13239
13240	20	24T13240
13240	24	24T13240
13241	0	24T13241
13241	16	24T13241
13241	20	24T13241
13241	24	24T13241
13244	0	24T13244
13244	12	24T13244
13244	16	24T13244
13244	20	24T13244
13244	24	24T13244
13251	0	24T13251
13251	16	24T13251
13251	20	24T13251
13253	20	24T13253
13254	0	24T13254
13254	12	24T13254
13254	16	24T13254
13254	20	24T13254
13254	24	24T13254
13259	24	24T13259
13260	16	24T13260
13260	20	24T13260
13260	24	24T13260
13261	12	24T13261
13261	16	24T13261
13263	16	24T13263
13263	20	24T13263
13263	24	24T13263
13264	16	24T13264
13264	20	24T13264
13264	24	24T13264
13271	16	24T13271
13271	20	24T13271
13271	24	24T13271
13286	16	24T13286
13286	20	24T13286
13286	24	24T13286
13288	16	24T13288
13288	20	24T13288
13288	24	24T13288
13313	16	24T13313
13323	0	24T13323
13323	8	24T13323
13323	12	24T13323
13323	16	24T13323
13325	16	24T13325
13339	4	24T13339
13339	12	24T13339
13350	16	24T13350
13357	24	24T13357
13372	16	24T13372
13372	20	24T13372
13372	24	24T13372
13407	12	24T13407
13408	24	24T13408
13409	12	24T13409
13409	16	24T13409
13409	20	24T13409
13409	24	24T13409
13438	16	24T13438
13442	12	24T13442
13445	8	24T13445
13445	12	24T13445
13445	16	24T13445
13445	20	24T13445
13445	24	24T13445
13446	12	24T13446
13448	12	24T13448
13449	16	24T13449
13449	20	24T13449
13449	24	24T13449
13451	16	24T13451
13451	24	24T13451
13452	4	24T13452
13452	8	24T13452
13452	12	24T13452
13452	16	24T13452
13452	20	24T13452
13452	24	24T13452
13457	12	24T13457
13457	16	24T13457
13457	20	24T13457
13457	24	24T13457
13459	20	24T13459
13460	8	24T13460
13460	12	24T13460
13460	16	24T13460
13460	20	24T13460
13460	24	24T13460
13461	0	24T13461
13461	4	24T13461
13461	8	24T13461
13461	12	24T13461
13461	16	24T13461
13461	20	24T13461
13461	24	24T13461
13469	16	24T13469
13470	12	24T13470
13470	16	24T13470
13470	20	24T13470
13470	24	24T13470
13501	16	24T13501
13501	24	24T13501
13523	0	24T13523
13523	4	24T13523
13523	8	24T13523
13523	12	24T13523
13523	16	24T13523
13523	24	24T13523
13528	12	24T13528
13529	12	24T13529
13531	8	24T13531
13531	12	24T13531
13531	16	24T13531
13531	24	24T13531
13535	24	24T13535
13538	20	24T13538
13545	4	24T13545
13546	20	24T13546
13546	24	24T13546
13549	8	24T13549
13549	24	24T13549
13550	20	24T13550
13550	24	24T13550
13558	4	24T13558
13558	8	24T13558
13558	12	24T13558
13558	16	24T13558
13558	20	24T13558
13558	24	24T13558
13561	4	24T13561
13561	8	24T13561
13561	12	24T13561
13561	16	24T13561
13561	20	24T13561
13561	24	24T13561
13563	4	24T13563
13563	8	24T13563
13563	12	24T13563
13563	16	24T13563
13563	20	24T13563
13563	24	24T13563
13617	12	24T13617
13617	16	24T13617
13617	24	24T13617
13618	16	24T13618
13618	18	24T13618
13618	24	24T13618
13622	8	24T13622
13622	12	24T13622
13622	14	24T13622
13622	16	24T13622
13622	18	24T13622
13622	24	24T13622
13643	24	24T13643
13653	4	24T13653
13677	24	24T13677
13742	16	24T13742
13748	24	24T13748
13753	4	24T13753
13753	12	24T13753
13754	12	24T13754
13755	12	24T13755
13758	0	24T13758
13758	8	24T13758
13758	16	24T13758
13758	24	24T13758
13759	8	24T13759
13759	16	24T13759
13759	24	24T13759
13762	24	24T13762
13763	0	24T13763
13763	24	24T13763
13766	16	24T13766
13766	24	24T13766
13767	16	24T13767
13767	24	24T13767
13774	16	24T13774
13774	24	24T13774
13775	6	24T13775
13775	16	24T13775
13775	24	24T13775
13781	16	24T13781
13781	24	24T13781
13783	24	24T13783
13785	0	24T13785
13785	8	24T13785
13785	12	24T13785
13785	16	24T13785
13785	24	24T13785
13786	4	24T13786
13786	12	24T13786
13787	12	24T13787
13787	16	24T13787
13787	24	24T13787
13788	16	24T13788
13788	24	24T13788
13792	0	24T13792
13792	8	24T13792
13792	16	24T13792
13792	24	24T13792
13793	0	24T13793
13793	2	24T13793
13793	18	24T13793
13793	24	24T13793
13797	4	24T13797
13797	12	24T13797
13798	12	24T13798
13798	16	24T13798
13801	12	24T13801
13806	24	24T13806
13807	16	24T13807
13807	24	24T13807
13808	4	24T13808
13808	12	24T13808
13809	4	24T13809
13809	12	24T13809
13810	4	24T13810
13810	12	24T13810
13810	16	24T13810
13816	4	24T13816
13819	8	24T13819
13819	16	24T13819
13819	24	24T13819
13820	8	24T13820
13820	16	24T13820
13820	24	24T13820
13823	0	24T13823
13823	8	24T13823
13823	16	24T13823
13823	24	24T13823
13827	24	24T13827
13828	16	24T13828
13828	24	24T13828
13831	16	24T13831
13832	16	24T13832
13836	16	24T13836
13836	24	24T13836
13844	8	24T13844
13844	12	24T13844
13844	24	24T13844
13873	0	24T13873
13873	8	24T13873
13873	16	24T13873
13873	24	24T13873
13882	16	24T13882
13882	24	24T13882
13885	4	24T13885
13885	8	24T13885
13885	12	24T13885
13885	16	24T13885
13885	24	24T13885
13890	16	24T13890
13890	24	24T13890
13891	16	24T13891
13891	24	24T13891
13894	16	24T13894
13894	24	24T13894
13897	16	24T13897
13897	24	24T13897
13905	4	24T13905
13905	8	24T13905
13905	12	24T13905
13905	16	24T13905
13905	24	24T13905
13906	24	24T13906
13914	16	24T13914
13914	24	24T13914
13923	16	24T13923
13928	8	24T13928
13928	16	24T13928
13928	24	24T13928
13931	12	24T13931
13931	24	24T13931
13940	16	24T13940
13942	6	24T13942
13942	16	24T13942
13944	8	24T13944
13944	16	24T13944
13944	24	24T13944
13946	6	24T13946
13946	16	24T13946
13947	0	24T13947
13947	6	24T13947
13947	12	24T13947
13947	16	24T13947
13947	24	24T13947
13976	24	24T13976
14147	4	24T14147
14147	20	24T14147
14147	24	24T14147
14148	4	24T14148
14219	20	24T14219
14219	24	24T14219
14336	8	24T14336
14336	16	24T14336
14336	24	24T14336
14337	0	24T14337
14337	8	24T14337
14337	16	24T14337
14338	12	24T14338
14338	16	24T14338
14339	4	24T14339
14339	12	24T14339
14339	24	24T14339
14343	16	24T14343
14352	12	24T14352
14366	8	24T14366
14366	16	24T14366
14367	0	24T14367
14367	8	24T14367
14367	16	24T14367
14367	24	24T14367
14373	0	24T14373
14373	8	24T14373
14373	16	24T14373
14373	24	24T14373
14377	16	24T14377
14381	16	24T14381
14384	16	24T14384
14411	0	24T14411
14411	24	24T14411
14507	4	24T14507
14507	12	24T14507
14507	16	24T14507
14507	24	24T14507
14510	16	24T14510
14510	24	24T14510
14520	12	24T14520
14521	12	24T14521
14522	12	24T14522
14523	12	24T14523
14523	16	24T14523
14528	16	24T14528
14576	8	24T14576
14580	16	24T14580
14832	4	24T14832
14836	20	24T14836
14836	24	24T14836
14846	4	24T14846
14846	12	24T14846
14846	20	24T14846
14850	24	24T14850
14872	0	24T14872
14872	4	24T14872
14872	8	24T14872
14872	12	24T14872
14872	16	24T14872
14872	20	24T14872
14872	24	24T14872
14878	16	24T14878
14879	16	24T14879
14879	20	24T14879
14883	16	24T14883
14883	20	24T14883
14883	24	24T14883
14884	24	24T14884
14887	0	24T14887
14887	4	24T14887
14887	8	24T14887
14887	12	24T14887
14887	16	24T14887
14887	20	24T14887
14887	24	24T14887
14890	0	24T14890
14890	4	24T14890
14890	8	24T14890
14890	12	24T14890
14890	16	24T14890
14890	20	24T14890
14890	24	24T14890
14892	0	24T14892
14892	16	24T14892
14892	24	24T14892
14904	16	24T14904
14904	20	24T14904
14904	24	24T14904
14906	16	24T14906
14906	20	24T14906
14906	24	24T14906
14910	0	24T14910
14910	4	24T14910
14910	20	24T14910
14910	24	24T14910
14912	16	24T14912
14913	16	24T14913
14915	12	24T14915
14915	24	24T14915
14917	12	24T14917
14917	16	24T14917
14917	24	24T14917
14920	12	24T14920
14920	16	24T14920
14920	20	24T14920
14920	24	24T14920
14921	16	24T14921
14921	24	24T14921
14922	4	24T14922
14922	8	24T14922
14922	12	24T14922
14922	16	24T14922
14922	20	24T14922
14922	24	24T14922
14924	12	24T14924
14924	16	24T14924
14924	20	24T14924
14953	24	24T14953
14997	16	24T14997
14997	20	24T14997
14997	24	24T14997
15001	16	24T15001
15001	20	24T15001
15001	24	24T15001
15002	16	24T15002
15002	24	24T15002
15006	24	24T15006
15012	0	24T15012
15012	16	24T15012
15012	20	24T15012
15012	24	24T15012
15024	16	24T15024
15032	16	24T15032
15048	10	24T15048
15048	14	24T15048
15048	16	24T15048
15048	18	24T15048
15048	20	24T15048
15091	4	24T15091
15091	8	24T15091
15091	12	24T15091
15091	16	24T15091
15091	20	24T15091
15091	24	24T15091
15093	20	24T15093
15094	0	24T15094
15094	20	24T15094
15094	24	24T15094
15095	20	24T15095
15095	24	24T15095
15096	20	24T15096
15099	16	24T15099
15099	20	24T15099
15099	24	24T15099
15104	20	24T15104
15104	24	24T15104
15109	16	24T15109
15109	20	24T15109
15109	24	24T15109
15111	16	24T15111
15114	24	24T15114
15115	12	24T15115
15115	16	24T15115
15115	20	24T15115
15115	24	24T15115
15120	20	24T15120
15120	24	24T15120
15127	0	24T15127
15127	4	24T15127
15127	8	24T15127
15127	12	24T15127
15127	16	24T15127
15127	20	24T15127
15127	24	24T15127
15135	4	24T15135
15135	12	24T15135
15135	20	24T15135
15136	20	24T15136
15136	24	24T15136
15144	12	24T15144
15144	20	24T15144
15144	24	24T15144
15149	20	24T15149
15149	24	24T15149
15152	16	24T15152
15152	20	24T15152
15156	20	24T15156
15158	12	24T15158
15158	16	24T15158
15170	6	24T15170
15171	20	24T15171
15178	20	24T15178
15180	20	24T15180
15182	20	24T15182
15182	24	24T15182
15183	20	24T15183
15184	12	24T15184
15184	20	24T15184
15184	24	24T15184
15186	12	24T15186
15186	16	24T15186
15186	20	24T15186
15186	24	24T15186
15196	12	24T15196
15196	16	24T15196
15196	20	24T15196
15196	24	24T15196
15198	4	24T15198
15198	8	24T15198
15198	12	24T15198
15198	16	24T15198
15198	20	24T15198
15198	24	24T15198
15199	0	24T15199
15199	4	24T15199
15199	12	24T15199
15199	16	24T15199
15200	6	24T15200
15203	20	24T15203
15205	12	24T15205
15205	16	24T15205
15207	20	24T15207
15208	24	24T15208
15223	24	24T15223
15224	16	24T15224
15234	16	24T15234
15234	20	24T15234
15234	24	24T15234
15235	20	24T15235
15237	20	24T15237
15237	24	24T15237
15251	12	24T15251
15252	12	24T15252
15252	16	24T15252
15253	16	24T15253
15254	20	24T15254
15255	12	24T15255
15255	16	24T15255
15255	20	24T15255
15255	24	24T15255
15260	20	24T15260
15260	24	24T15260
15264	20	24T15264
15264	24	24T15264
15268	20	24T15268
15268	24	24T15268
15277	12	24T15277
15277	16	24T15277
15277	20	24T15277
15277	24	24T15277
15280	12	24T15280
15280	16	24T15280
15280	20	24T15280
15282	20	24T15282
15288	12	24T15288
15288	16	24T15288
15288	20	24T15288
15288	24	24T15288
15295	20	24T15295
15295	24	24T15295
15296	4	24T15296
15296	12	24T15296
15296	20	24T15296
15296	24	24T15296
15297	20	24T15297
15299	20	24T15299
15313	4	24T15313
15313	20	24T15313
15321	16	24T15321
15326	20	24T15326
15326	24	24T15326
15328	4	24T15328
15328	20	24T15328
15328	24	24T15328
15331	20	24T15331
15331	24	24T15331
15333	20	24T15333
15339	20	24T15339
15345	0	24T15345
15345	4	24T15345
15345	8	24T15345
15345	12	24T15345
15345	16	24T15345
15345	20	24T15345
15345	24	24T15345
15347	24	24T15347
15351	16	24T15351
15353	20	24T15353
15359	20	24T15359
15359	24	24T15359
15361	20	24T15361
15361	24	24T15361
15362	20	24T15362
15362	24	24T15362
15368	20	24T15368
15368	24	24T15368
15369	20	24T15369
15369	24	24T15369
15375	20	24T15375
15375	24	24T15375
15377	20	24T15377
15377	24	24T15377
15378	0	24T15378
15378	4	24T15378
15378	20	24T15378
15378	24	24T15378
15380	20	24T15380
15381	20	24T15381
15381	24	24T15381
15383	20	24T15383
15385	0	24T15385
15385	16	24T15385
15385	20	24T15385
15385	24	24T15385
15386	20	24T15386
15392	24	24T15392
15393	12	24T15393
15393	16	24T15393
15393	20	24T15393
15393	24	24T15393
15398	6	24T15398
15398	20	24T15398
15398	24	24T15398
15400	20	24T15400
15400	24	24T15400
15402	16	24T15402
15403	20	24T15403
15404	20	24T15404
15404	24	24T15404
15406	6	24T15406
15408	20	24T15408
15408	24	24T15408
15410	20	24T15410
15411	4	24T15411
15411	20	24T15411
15411	24	24T15411
15413	12	24T15413
15413	16	24T15413
15413	20	24T15413
15413	24	24T15413
15414	24	24T15414
15417	20	24T15417
15417	24	24T15417
15418	20	24T15418
15418	24	24T15418
15420	0	24T15420
15420	16	24T15420
15420	20	24T15420
15420	24	24T15420
15421	6	24T15421
15421	12	24T15421
15421	16	24T15421
15421	20	24T15421
15421	24	24T15421
15426	20	24T15426
15435	6	24T15435
15435	12	24T15435
15435	16	24T15435
15435	20	24T15435
15435	24	24T15435
15436	0	24T15436
15436	4	24T15436
15436	8	24T15436
15436	12	24T15436
15436	20	24T15436
15436	24	24T15436
15437	12	24T15437
15438	20	24T15438
15441	16	24T15441
15441	20	24T15441
15441	24	24T15441
15443	16	24T15443
15443	20	24T15443
15443	24	24T15443
15446	16	24T15446
15467	16	24T15467
15467	24	24T15467
15476	20	24T15476
15481	4	24T15481
15487	0	24T15487
15487	16	24T15487
15487	20	24T15487
15487	24	24T15487
15488	16	24T15488
15488	20	24T15488
15488	24	24T15488
15491	20	24T15491
15492	0	24T15492
15492	20	24T15492
15492	24	24T15492
15510	0	24T15510
15510	16	24T15510
15510	20	24T15510
15510	24	24T15510
15511	20	24T15511
15512	0	24T15512
15512	16	24T15512
15512	20	24T15512
15512	24	24T15512
15515	20	24T15515
15515	24	24T15515
15516	20	24T15516
15516	24	24T15516
15518	16	24T15518
15518	20	24T15518
15518	24	24T15518
15519	0	24T15519
15519	4	24T15519
15519	6	24T15519
15519	8	24T15519
15519	12	24T15519
15519	16	24T15519
15519	20	24T15519
15519	24	24T15519
15522	8	24T15522
15522	12	24T15522
15522	16	24T15522
15522	20	24T15522
15522	24	24T15522
15524	4	24T15524
15524	8	24T15524
15524	12	24T15524
15524	16	24T15524
15524	20	24T15524
15524	24	24T15524
15526	4	24T15526
15526	12	24T15526
15526	16	24T15526
15526	20	24T15526
15528	12	24T15528
15528	16	24T15528
15528	20	24T15528
15529	20	24T15529
15531	16	24T15531
15531	20	24T15531
15531	24	24T15531
15541	20	24T15541
15542	16	24T15542
15542	20	24T15542
15542	24	24T15542
15543	20	24T15543
15544	20	24T15544
15544	24	24T15544
15549	20	24T15549
15550	4	24T15550
15550	12	24T15550
15550	16	24T15550
15550	20	24T15550
15550	24	24T15550
15553	16	24T15553
15553	20	24T15553
15554	20	24T15554
15573	12	24T15573
15573	16	24T15573
15573	24	24T15573
15574	20	24T15574
15574	24	24T15574
15575	16	24T15575
15575	24	24T15575
15580	12	24T15580
15580	16	24T15580
15580	24	24T15580
15581	12	24T15581
15581	16	24T15581
15581	20	24T15581
15581	24	24T15581
15582	16	24T15582
15582	24	24T15582
15584	16	24T15584
15586	24	24T15586
15590	0	24T15590
15590	16	24T15590
15590	20	24T15590
15590	24	24T15590
15592	16	24T15592
15592	20	24T15592
15592	24	24T15592
15598	8	24T15598
15598	16	24T15598
15598	20	24T15598
15598	24	24T15598
15602	20	24T15602
15616	0	24T15616
15616	4	24T15616
15616	8	24T15616
15616	12	24T15616
15616	16	24T15616
15616	20	24T15616
15616	24	24T15616
15621	0	24T15621
15621	4	24T15621
15621	8	24T15621
15621	12	24T15621
15621	16	24T15621
15621	20	24T15621
15621	24	24T15621
15622	20	24T15622
15628	12	24T15628
15628	16	24T15628
15628	20	24T15628
15631	12	24T15631
15631	16	24T15631
15631	24	24T15631
15633	0	24T15633
15633	12	24T15633
15633	16	24T15633
15633	20	24T15633
15633	24	24T15633
15636	16	24T15636
15636	20	24T15636
15636	24	24T15636
15637	20	24T15637
15638	20	24T15638
15638	24	24T15638
15640	20	24T15640
15641	20	24T15641
15642	0	24T15642
15642	4	24T15642
15642	8	24T15642
15642	12	24T15642
15642	16	24T15642
15642	20	24T15642
15642	24	24T15642
15651	0	24T15651
15651	4	24T15651
15651	8	24T15651
15651	12	24T15651
15651	16	24T15651
15651	20	24T15651
15651	24	24T15651
15652	0	24T15652
15652	4	24T15652
15652	8	24T15652
15652	12	24T15652
15652	16	24T15652
15652	20	24T15652
15652	24	24T15652
15653	0	24T15653
15653	16	24T15653
15653	20	24T15653
15653	24	24T15653
15659	0	24T15659
15659	8	24T15659
15659	12	24T15659
15659	16	24T15659
15659	20	24T15659
15660	0	24T15660
15660	4	24T15660
15660	8	24T15660
15660	12	24T15660
15660	16	24T15660
15660	20	24T15660
15660	24	24T15660
15661	0	24T15661
15661	16	24T15661
15661	20	24T15661
15661	24	24T15661
15662	20	24T15662
15662	24	24T15662
15670	4	24T15670
15670	8	24T15670
15670	12	24T15670
15670	16	24T15670
15670	20	24T15670
15670	24	24T15670
15673	16	24T15673
15673	20	24T15673
15673	24	24T15673
15674	8	24T15674
15674	12	24T15674
15674	16	24T15674
15674	20	24T15674
15674	24	24T15674
15677	24	24T15677
15720	24	24T15720
15758	12	24T15758
15758	16	24T15758
15758	20	24T15758
15758	24	24T15758
15763	12	24T15763
15763	16	24T15763
15763	20	24T15763
15763	24	24T15763
15770	0	24T15770
15770	4	24T15770
15770	8	24T15770
15770	12	24T15770
15770	16	24T15770
15770	20	24T15770
15770	24	24T15770
15771	16	24T15771
15772	20	24T15772
15775	8	24T15775
15775	12	24T15775
15775	16	24T15775
15775	20	24T15775
15775	24	24T15775
15776	16	24T15776
15776	24	24T15776
15779	16	24T15779
15779	20	24T15779
15779	24	24T15779
15787	16	24T15787
15845	24	24T15845
15851	24	24T15851
15857	24	24T15857
15863	24	24T15863
15868	16	24T15868
15868	24	24T15868
15876	16	24T15876
15876	24	24T15876
15880	16	24T15880
15880	24	24T15880
15884	16	24T15884
15884	24	24T15884
15891	24	24T15891
15892	0	24T15892
15892	8	24T15892
15892	16	24T15892
15892	24	24T15892
15894	0	24T15894
15894	24	24T15894
15895	12	24T15895
15896	12	24T15896
15900	0	24T15900
15900	4	24T15900
15900	8	24T15900
15900	12	24T15900
15900	16	24T15900
15900	24	24T15900
15901	18	24T15901
15901	24	24T15901
15902	24	24T15902
15904	16	24T15904
15908	4	24T15908
15908	12	24T15908
15910	24	24T15910
15915	24	24T15915
15922	16	24T15922
15922	24	24T15922
15923	16	24T15923
15923	24	24T15923
15924	24	24T15924
15926	12	24T15926
15927	12	24T15927
15932	16	24T15932
15932	24	24T15932
15935	16	24T15935
15935	24	24T15935
15937	16	24T15937
15937	24	24T15937
15941	24	24T15941
15942	16	24T15942
15944	24	24T15944
15945	16	24T15945
15945	24	24T15945
15947	16	24T15947
15956	12	24T15956
15957	12	24T15957
15958	12	24T15958
15959	12	24T15959
15961	16	24T15961
15963	12	24T15963
15964	12	24T15964
15966	24	24T15966
15967	24	24T15967
15969	24	24T15969
15975	12	24T15975
15975	16	24T15975
15975	24	24T15975
15978	24	24T15978
16003	24	24T16003
16029	24	24T16029
16030	12	24T16030
16030	24	24T16030
16152	0	24T16152
16154	8	24T16154
16154	12	24T16154
16154	16	24T16154
16154	20	24T16154
16154	24	24T16154
16185	16	24T16185
16185	20	24T16185
16185	24	24T16185
16188	16	24T16188
16188	20	24T16188
16188	24	24T16188
16204	8	24T16204
16204	12	24T16204
16204	16	24T16204
16204	24	24T16204
16220	24	24T16220
16222	24	24T16222
16225	4	24T16225
16225	12	24T16225
16225	16	24T16225
16225	20	24T16225
16225	24	24T16225
16226	4	24T16226
16226	12	24T16226
16226	16	24T16226
16226	20	24T16226
16226	24	24T16226
16245	4	24T16245
16245	20	24T16245
16248	20	24T16248
16249	4	24T16249
16249	20	24T16249
16251	16	24T16251
16251	20	24T16251
16253	16	24T16253
16253	20	24T16253
16253	24	24T16253
16264	12	24T16264
16264	16	24T16264
16264	20	24T16264
16265	20	24T16265
16268	4	24T16268
16268	8	24T16268
16268	12	24T16268
16268	16	24T16268
16268	20	24T16268
16268	24	24T16268
16269	16	24T16269
16269	20	24T16269
16291	12	24T16291
16291	16	24T16291
16295	8	24T16295
16295	12	24T16295
16295	16	24T16295
16295	20	24T16295
16295	24	24T16295
16297	8	24T16297
16297	12	24T16297
16297	16	24T16297
16297	20	24T16297
16297	24	24T16297
16300	16	24T16300
16303	8	24T16303
16303	12	24T16303
16303	16	24T16303
16303	20	24T16303
16303	24	24T16303
16306	12	24T16306
16307	20	24T16307
16311	20	24T16311
16312	16	24T16312
16312	20	24T16312
16313	8	24T16313
16313	12	24T16313
16313	16	24T16313
16313	20	24T16313
16313	24	24T16313
16315	4	24T16315
16315	8	24T16315
16315	12	24T16315
16315	16	24T16315
16315	20	24T16315
16317	4	24T16317
16317	8	24T16317
16317	12	24T16317
16317	16	24T16317
16317	20	24T16317
16321	20	24T16321
16326	4	24T16326
16326	8	24T16326
16326	16	24T16326
16326	20	24T16326
16328	20	24T16328
16329	20	24T16329
16331	20	24T16331
16332	16	24T16332
16332	20	24T16332
16335	8	24T16335
16335	12	24T16335
16335	16	24T16335
16345	4	24T16345
16345	12	24T16345
16345	16	24T16345
16345	20	24T16345
16348	20	24T16348
16352	4	24T16352
16352	16	24T16352
16352	20	24T16352
16358	8	24T16358
16358	12	24T16358
16377	24	24T16377
16378	24	24T16378
16381	24	24T16381
16394	16	24T16394
16394	24	24T16394
16395	16	24T16395
16395	24	24T16395
16399	16	24T16399
16399	24	24T16399
16401	12	24T16401
16428	16	24T16428
16428	24	24T16428
16430	16	24T16430
16430	24	24T16430
16432	16	24T16432
16433	16	24T16433
16433	24	24T16433
16436	8	24T16436
16436	24	24T16436
16438	12	24T16438
16438	16	24T16438
16446	16	24T16446
16446	24	24T16446
16448	16	24T16448
16448	24	24T16448
16451	16	24T16451
16451	24	24T16451
